Factor1,Factor2
13.151901,-6.2085853
13.560493,-4.516906
11.712587,-5.5412784
13.382335,-6.3140974
11.935397,-5.172331
12.965454,-5.2350006
11.513001,-5.3858
11.529101,-5.025092
12.511399,-5.8339486
11.739595,-4.732027
14.114044,-6.0296936
14.079968,-3.7622564
12.614274,-4.332893
13.636617,-6.3434186
12.113602,-5.8985934
13.764389,-5.0493455
11.936224,-5.959017
13.025752,-4.6837497
12.444261,-4.8684416
13.843485,-6.0524993
12.202358,-6.0273876
12.6623,-6.4770317
12.021323,-4.6902275
13.985176,-5.9944897
12.115108,-5.219106
13.177547,-6.0366745
12.422036,-4.622816
12.4107485,-6.4302645
12.189396,-5.3476915
13.2795925,-5.7568064
12.141362,-4.7335033
12.975634,-4.8249364
11.945485,-5.845471
12.730206,-5.1160183
11.799581,-6.0310197
14.0728,-5.2349825
11.991734,-4.103214
11.756354,-5.516634
14.391256,-4.9836583
14.318699,-5.5570345
12.285583,-5.625161
13.756437,-4.319232
14.362755,-5.181842
13.1592045,-6.366727
12.726496,-6.206808
12.605327,-5.880574
12.503634,-5.318177
13.960135,-5.984712
11.384482,-4.688459
13.580995,-5.676544
13.370821,-5.402355
13.183105,-4.3992233
14.619942,-5.1616077
12.524167,-4.93259
12.63739,-6.755246
11.427394,-5.082125
13.4057665,-4.835804
14.346511,-5.6982346
14.543118,-4.618794
13.830234,-4.95998
11.892532,-5.528248
14.354065,-5.191437
12.994117,-6.4511976
17.938787,-5.608277
17.533476,-6.0816374
16.59767,-6.405981
17.437662,-6.3312936
18.207817,-5.7847676
17.150427,-6.072346
17.752388,-5.9528904
17.79968,-5.5932803
17.402897,-6.2104325
17.232723,-5.4535675
17.466547,-6.3667474
18.058327,-6.0907187
17.787243,-6.2766685
17.791933,-5.5844593
16.894718,-6.0205345
17.89625,-5.602705
16.955858,-5.888316
11.997412,-6.1792603
13.563765,-5.6269207
14.522389,-4.8278546
14.056421,-5.8000937
13.0177765,-4.163085
13.651159,-3.3780572
12.743576,-4.924311
11.608859,-4.7840466
12.320181,-5.0575604
12.430818,-6.47738
13.444111,-6.689085
12.171172,-5.7275753
13.010933,-6.093049
12.205288,-4.691817
12.4681835,-5.9326415
12.165379,-5.0883846
12.351746,-4.4071035
12.845076,-5.8383083
13.721338,-5.798306
14.10296,-6.2003
12.596696,-6.420487
13.548496,-4.877095
13.253103,-4.0184693
12.038953,-5.7680354
13.620755,-4.5528836
11.740769,-5.8624997
13.839324,-4.564755
13.268003,-4.2441306
12.91225,-6.452035
12.583821,-4.7778225
12.27347,-6.280574
14.08356,-5.6554193
12.925706,-6.3214164
14.225691,-5.5470004
17.657812,-6.0577016
18.10475,-6.2725224
16.70739,-5.7603984
18.099268,-6.151329
16.966331,-5.677373
18.276464,-6.1241875
18.265985,-6.036477
17.160183,-5.5340023
16.3383,-6.099502
15.892352,-6.0486164
17.364206,-5.7337027
16.14007,-6.384849
17.688482,-5.916254
17.543562,-5.43723
17.588663,-6.1874323
17.270723,-6.438417
17.231213,-6.390601
18.0956,-6.2007365
17.94733,-6.07375
18.163048,-6.56349
17.72666,-6.426364
17.761467,-6.179492
17.361797,-6.334527
15.818349,-6.2087355
17.664148,-5.9251585
17.250519,-5.625414
16.679024,-5.9336395
17.130167,-5.5913687
16.714445,-6.6294045
17.583656,-5.61234
17.660154,-5.71198
16.426327,-6.135103
17.838701,-5.926849
17.075308,-6.0221734
17.479414,-5.421328
17.470257,-5.687288
17.570566,-5.7569547
18.190538,-5.974482
17.204512,-5.908414
18.204039,-6.312658
16.715122,-6.5401173
16.517847,-6.300353
17.26439,-5.7270913
16.815792,-6.3031983
16.999853,-6.5111094
16.366749,-5.9746914
17.1265,-5.4909577
17.836859,-6.3512354
16.19198,-6.2900395
17.199715,-5.8780203
17.848738,-6.4269
17.074293,-6.18731
18.146809,-6.114531
17.88981,-5.745909
16.420033,-5.924356
17.30499,-5.5384917
16.873253,-6.405287
17.747583,-5.789627
13.835454,-6.1912484
16.78532,-5.9815497
17.340622,-5.493185
16.66866,-6.4357924
17.164059,-6.200779
17.709091,-5.7275925
18.272438,-5.6898074
17.021755,-6.4979196
16.474102,-5.97158
18.398357,-6.4163594
17.465363,-5.745932
17.604023,-5.607824
17.801403,-5.976326
17.430029,-6.2217283
18.031578,-5.820876
17.961615,-5.647579
18.248022,-6.2946105
17.962831,-6.522902
16.502808,-6.5585904
18.314474,-6.272069
17.545534,-5.6770234
16.317104,-6.0473695
17.03063,-5.715352
16.919521,-6.4842443
15.253394,-6.200716
16.55544,-6.307547
17.887297,-5.802589
17.486952,-5.6294994
16.499887,-6.4956646
-1.9806024,10.208632
-2.3667698,9.674866
-1.9717181,10.186489
-1.6568575,12.166899
-0.6427222,11.603778
-1.4080548,12.461878
-1.6580824,11.098197
-1.8779722,12.369597
-0.89672726,11.355594
-2.2673976,10.661739
-2.0527694,10.421369
-0.8085322,11.2040825
-1.218173,11.306684
-2.245446,9.980901
-2.1033525,11.112322
-1.4477732,10.00575
-1.773431,11.602949
-1.7856871,10.842105
-2.1147654,9.619906
-1.0888504,10.864599
-1.7989582,9.652055
-1.9393585,11.165857
-3.149753,11.547337
-2.7237434,10.996017
-1.6978768,10.015101
-1.9194293,11.038797
-1.7606333,10.359786
-2.5928583,10.684477
-1.8068036,11.870432
-1.987897,10.516302
-1.4743177,10.455234
-1.8639269,11.847721
-1.5998003,11.683014
-0.54340506,11.875656
-2.2565126,9.826869
-2.3757646,10.46045
-2.8030553,10.365155
-2.1497378,11.909041
-1.702779,10.26511
-0.83079654,10.273931
-1.5183066,10.06221
-0.99517304,10.066867
-3.1455774,10.860243
-2.3471022,9.976053
-2.5114665,11.411328
-1.6897048,10.621796
-3.0374703,11.841967
-1.9841151,11.933159
-1.1781435,10.473875
-1.1387463,11.441764
-0.9813293,10.8798685
-1.1125554,11.540575
-0.7719392,11.027135
-0.8084554,11.4809675
-1.3008977,11.301175
-2.0521178,12.11978
-2.0180748,11.1212845
-0.8965334,12.415771
-2.1316557,10.836158
-1.994871,10.990161
-1.5999343,10.799354
-2.0259097,10.742862
-1.1339244,10.579343
-2.316604,11.794536
-1.3018337,9.929968
-1.332706,10.0600815
-1.7040781,10.484933
-2.040879,12.106415
-2.0830038,10.623869
16.200964,3.0769095
15.550009,1.1656952
15.762744,5.9129443
16.18993,2.2058713
16.30334,4.3939285
-1.9089005,11.603104
-1.558914,9.762588
-2.1284468,10.639911
-2.0351808,11.604794
-1.091257,10.693518
-1.8224055,11.4918165
-1.1017311,9.916597
-1.303788,10.220224
-1.0855287,10.109608
-0.95266634,10.700662
-1.7841848,10.098568
-1.1893314,10.528404
-2.4269147,10.864188
-2.4885397,10.509807
-2.3324993,10.257899
-0.8295321,11.829722
-0.9186607,10.667078
-0.58970714,11.121371
-2.406008,9.542879
-2.5156178,11.270614
-2.7905524,10.521569
-2.906124,10.888729
-1.5819376,10.0523205
-2.8635006,10.325757
-2.089016,10.322538
-1.0185224,10.772827
-0.80550647,10.654857
-2.0645745,11.55706
-1.8518412,11.883394
-2.2557774,9.659739
-2.404125,10.935545
-1.0443882,11.119382
-0.7897642,11.555477
-1.6812687,10.466232
-2.8944478,10.3964405
-1.8137906,11.055779
-2.3232827,9.677191
-0.39319503,12.695004
-2.3556712,10.178197
-3.26109,11.083626
-1.8083382,10.601213
-2.6684713,10.634182
-2.1184483,12.685518
-1.8222636,12.304017
-1.877583,11.782214
-0.70597136,12.327302
-1.4067441,9.947118
