Factor1,Factor2
2.8871334,3.7868311
3.843523,4.5394406
3.249826,3.2982495
2.7838585,4.0371585
3.6093495,3.4026515
3.5449984,4.093256
3.7133806,3.170693
3.6762934,3.1445763
3.1178684,3.52213
3.8863885,3.4257586
2.8128142,4.589252
4.591031,4.795628
4.245075,3.9299834
2.8158326,3.4152102
3.3795047,3.507218
3.6223857,4.4567647
3.2166026,3.3861187
4.1575365,3.9321039
3.6746154,3.896366
2.9061885,4.2719455
3.0725424,3.4582365
3.087673,3.8130991
4.216351,3.4733102
3.136882,4.277218
3.6136727,3.6040492
2.8720636,3.7669322
3.955255,3.6658642
2.8881679,3.636966
3.7194223,3.4747655
3.3125975,4.072703
3.9538941,3.5752032
3.7177594,4.1133847
3.227487,3.3552287
3.8476105,3.8102243
3.2254472,3.3155568
3.5843763,4.542197
4.551892,3.5122182
3.708866,3.233179
3.8726342,4.7568374
3.269749,4.5755334
3.4863365,3.5872521
3.8520243,4.7219434
3.3866367,4.799583
2.7749426,3.662427
2.690105,3.9539018
3.389127,3.9245613
3.6529188,3.5946488
3.0602643,4.2766857
4.0257993,3.3198304
3.1407475,4.1321507
3.3804939,4.2562804
4.2477956,3.9872506
3.4532075,4.782167
3.901601,3.5959916
2.7750618,3.8288374
3.7891443,3.2342055
3.639579,4.6626124
2.8970735,4.6158566
3.9519494,4.9389343
3.960797,4.7069
3.3698559,3.2932985
3.3395262,4.742612
2.6742368,4.0198956
-0.77562016,1.4625936
-0.75131625,1.7838476
-0.5174297,2.228635
-0.8656001,1.8190286
-0.93124807,1.3603392
-0.6563518,1.8877983
-0.9311017,1.6904836
-0.76057076,1.5549963
-0.6852543,1.8506361
-0.65864944,1.6320685
-0.74897236,1.9032693
-0.92654735,1.5130552
-0.969206,1.6606424
-0.8383834,1.5053704
-0.502132,1.9604166
-0.82722294,1.5319626
-0.5133813,1.8662018
3.178033,3.3861523
3.2482693,4.245622
3.820249,4.9104524
2.8941796,4.558774
4.3509655,4.014538
4.703849,4.5362434
3.965707,3.8226042
3.8094363,3.464472
3.632824,3.87198
3.1383932,3.7230992
2.8615732,3.9016988
3.3657832,3.5340562
3.1596904,3.9744833
4.1166596,3.57257
3.0172522,3.5273788
3.8205903,3.5585988
4.072001,3.6671567
2.950432,3.8334703
3.2352142,4.1731887
2.791431,4.516465
3.0963018,3.6812837
3.7264462,4.38543
4.231024,4.35285
3.2454474,3.3566294
3.8686955,4.5601716
3.2493324,3.3082843
3.6491745,4.7192206
3.9770353,4.383014
2.6996183,3.9978411
4.0235567,3.6617684
3.1461585,3.6424332
2.9318404,4.636267
2.6807404,3.9938838
3.1035225,4.6829
-0.75245786,1.6005642
-1.0495872,1.5617824
-0.39857587,1.8738604
-1.0051464,1.5856221
-0.52553385,1.682934
-1.0665362,1.5466363
-1.0035319,1.556586
-0.5840096,1.5626225
-0.35679004,2.0100117
-0.29261887,2.042122
-0.7671707,1.576518
-0.46477473,2.2518113
-0.94163555,1.5499198
-0.71255136,1.4842767
-0.80346406,1.6728396
-0.7681361,2.0011098
-0.7754677,1.8667072
-1.0146375,1.5568682
-0.9597021,1.685025
-1.1338165,1.6174604
-0.9483378,1.7963799
-0.8469021,1.6640055
-0.9200508,1.8158
-0.28718197,2.141709
-0.9642348,1.6662824
-0.63484067,1.5918332
-0.41343978,1.9619057
-0.7070517,1.618368
-0.55186445,2.2006924
-0.6641616,1.4217635
-0.7242289,1.5692908
-0.41793197,2.0557399
-0.91602474,1.6198474
-0.5974403,1.8083334
-0.63050216,1.461485
-0.67422956,1.5058434
-0.7036842,1.66977
-0.9021255,1.4306759
-0.58419347,1.6667209
-1.0793389,1.5816019
-0.53695333,2.202237
-0.42748958,2.114428
-0.66508824,1.5901271
-0.5723849,2.2211409
-0.7324004,2.0393898
-0.33910063,2.0169778
-0.604277,1.5259057
-0.9258961,1.6577392
-0.42828092,2.1247127
-0.7054738,1.771848
-0.93969727,1.6693758
-0.53118956,1.9112083
-1.013707,1.4662547
-0.80178165,1.4348247
-0.36773664,1.9795227
-0.64150906,1.501206
-0.6090898,2.1123614
-0.798008,1.5620062
2.8536413,3.4456713
-0.48450893,1.8306587
