Factor1,Factor2
5.839309,7.5875387
3.9970062,6.3729997
6.7919974,6.168797
5.4043455,7.9086676
6.1885405,6.1834173
4.973795,6.634785
6.2978206,5.293068
6.2088346,5.6961
6.1174736,6.969414
6.206327,5.277261
4.452656,8.375356
2.971497,5.2057505
5.4437995,4.666037
7.4496593,7.2930703
6.2833567,6.167073
4.1412196,6.3145757
6.6207914,6.501254
4.3736386,5.260749
5.357805,5.9659786
4.858857,8.001996
6.1904435,7.1296544
5.9398108,6.89037
5.8672595,5.232436
4.8331966,7.42679
6.1352196,5.841471
5.327709,7.7013607
5.380956,4.837449
5.993224,7.5767264
5.319463,5.2104554
5.1236916,6.2086015
5.4120145,5.478965
4.8632913,6.067794
6.672245,6.393637
6.398973,5.122821
6.748464,6.093695
3.7908266,6.218103
5.378707,4.7251287
6.4405932,5.306926
2.7973647,6.9160028
4.34655,7.3581376
6.4548707,6.249896
3.468747,6.216631
3.7463262,7.237075
6.0019293,7.6403236
5.3990226,8.332526
5.8184066,6.1660476
5.490373,5.80805
5.055801,7.445645
6.24329,4.9846025
4.721069,7.3290954
5.065445,6.4303966
4.3487935,5.2121596
3.6997051,7.209664
5.8086715,5.9636216
6.311194,7.6928883
6.5211143,5.003856
4.533451,6.653828
4.3190627,8.297622
3.2679338,6.528246
3.37947,7.038587
6.3199463,6.292504
3.7731059,7.3861494
5.56258,8.490395
10.472733,8.887233
9.272232,8.831025
7.792209,8.492677
9.165615,8.979599
9.91221,9.416021
8.867323,8.589266
9.904515,9.093281
9.111981,9.10118
8.72125,8.61866
9.252671,8.617036
8.647422,8.806749
9.071505,9.25202
9.831805,9.32881
9.272102,9.088239
8.586885,8.274256
10.206808,8.894883
8.798772,8.152811
6.80823,6.553431
4.860233,6.6693625
3.5135224,6.555308
4.5775976,8.254634
4.2645664,5.08427
3.279663,5.0368953
4.978205,6.062101
5.9474998,5.5376744
5.430607,6.116986
6.832682,6.98198
5.7840805,7.787327
6.314195,6.3051596
5.5406203,6.8052125
5.574299,5.2945323
5.859649,7.436015
5.2579436,4.9733105
4.7934866,5.3023477
5.241668,7.392884
4.9343333,7.2452226
4.6818047,8.436387
6.9771123,7.0138197
4.1890583,6.060161
3.6665027,5.511647
6.499444,5.920088
3.8103964,6.4587474
6.8486347,5.973385
4.0646033,6.5759044
3.9491398,5.67873
5.462997,8.469286
5.653215,5.5862293
7.0107436,6.8614335
4.3226867,8.115171
5.407519,8.053242
4.0608525,7.848459
9.5487175,8.752792
9.286885,9.697028
8.818455,8.010991
9.219532,9.297852
9.643966,8.191074
9.428444,9.68443
9.479696,9.473975
10.018013,8.075902
8.503295,7.914731
8.173588,7.6443596
9.336397,8.769306
7.992462,8.000581
9.376044,9.40899
10.118643,8.49655
9.674614,8.82444
8.48254,8.690538
9.004702,9.01356
9.485133,9.435465
9.676879,9.254427
9.405525,10.088673
9.2656355,9.591915
8.86592,8.977648
9.516562,9.251344
8.014587,7.708537
9.325674,9.010823
9.643376,8.163168
8.709099,7.923639
9.255851,8.659313
7.9953756,8.457948
10.32887,8.363546
9.824978,8.587864
8.289102,7.8565316
9.26568,8.971154
9.230026,8.444298
10.11745,8.491116
9.924071,8.436226
9.265777,8.82482
10.316691,9.314702
9.5307865,8.470608
9.486729,10.085766
8.159071,8.367938
8.113142,7.9704943
9.559551,8.139821
7.713843,8.553202
8.336378,8.813446
8.4075365,7.69325
9.865933,8.352563
9.755802,9.107181
8.183276,7.981707
9.010274,8.698686
9.602464,9.238149
8.742699,8.498971
10.294641,9.5247555
10.508814,8.910505
8.422129,8.00731
10.154502,8.1479645
8.501177,8.636491
9.1963215,9.052553
7.3735785,7.146989
9.245441,8.226509
10.020157,8.265061
7.8035192,8.526264
8.709945,8.637783
9.514724,8.879819
10.102581,9.380371
8.50554,8.762475
