Factor1,Factor2
16.098343,10.211616
16.339605,9.272608
15.783559,10.5699215
16.610123,9.659397
15.980763,9.8494005
16.683468,9.248769
16.57469,9.44352
16.559187,9.824553
16.71272,9.9416275
16.338867,9.462512
16.19295,10.032293
16.371748,9.56684
16.582956,9.831097
16.135288,10.469763
16.163898,10.389385
15.927191,10.182711
16.53064,9.434556
16.28604,9.180936
16.282993,9.1008625
16.133615,9.2048025
16.407784,9.685927
16.004234,9.666493
15.550625,9.748994
16.202845,9.290547
15.917898,10.376563
16.582352,9.574667
16.37827,10.177603
15.655521,10.077824
16.26356,10.083057
16.646637,9.526264
16.31417,9.401486
16.391222,9.211136
16.145292,9.778107
15.9526,9.165663
15.885922,10.150238
16.454468,9.429506
16.448454,9.222895
16.150148,9.410101
16.29055,9.2141695
16.095612,9.366903
16.238155,9.993052
16.38075,9.886996
16.348875,9.100697
15.977215,10.429892
16.574547,9.675537
16.092617,9.694886
15.667371,10.197276
16.15541,9.82147
16.113285,9.977342
15.660971,9.633519
15.914005,9.642383
16.429482,10.01124
15.946059,9.743977
16.502348,9.223943
16.184906,10.175258
16.406898,9.334188
16.131681,10.112979
16.299997,9.725323
16.219982,9.88133
16.223131,9.31903
15.805086,9.984065
16.327782,9.893801
15.899,9.912453
11.8695135,0.5743245
11.875148,0.9508451
11.268332,0.8480552
11.891718,0.870701
12.07781,0.5075814
11.451272,0.5257962
11.74565,0.68456036
12.043155,0.29587454
11.115432,0.797844
11.817814,1.1182497
11.396309,0.7915308
11.915514,0.8250299
12.075094,0.7324903
11.960647,0.8199782
11.764624,1.0843742
11.493981,0.8119998
11.072898,0.8175992
16.493778,9.318715
16.178572,9.281536
16.509428,9.704021
16.446613,9.005954
16.347858,9.79845
16.34492,9.964588
15.789299,10.02738
16.311089,9.81008
16.334684,9.358816
16.31133,10.044767
15.962674,10.642244
16.259258,9.891537
16.104927,9.20304
16.450262,9.699557
16.742716,9.871797
15.991065,9.836954
15.894355,9.687315
16.31742,10.237092
15.984824,10.502489
16.041126,9.693125
16.29955,9.383445
16.595352,9.15908
15.742818,9.826163
16.202894,9.949332
16.504272,9.908032
16.228344,9.9615555
16.377195,9.534629
16.577171,9.903393
15.869906,10.442798
16.298073,9.450025
16.055378,10.04346
16.365124,9.743918
16.05452,9.676266
15.729299,9.32824
12.002958,0.85615873
12.087417,0.7363413
11.48948,0.71723163
12.00436,0.9691355
11.671335,0.99756825
12.175995,0.6922924
12.16849,0.5398831
11.38274,0.6282934
11.408404,0.62672323
11.364325,0.7106221
11.595881,0.67011064
11.083531,0.84087914
11.998203,0.32359582
11.838933,0.8454623
11.8351755,0.96723044
11.813201,0.5816264
11.74004,0.9314715
11.973401,0.6129274
12.035871,0.62536174
12.183478,0.7310487
11.952902,0.35087687
11.924049,0.5590103
12.045361,0.34521556
11.477735,0.7309125
11.989905,0.40234536
11.722512,0.60906136
11.278022,0.78255767
11.212943,0.8405717
11.212858,0.73748815
12.02128,0.68175954
11.904912,0.83179456
11.675595,0.9587808
11.9346,0.82416403
11.389634,0.6712856
11.871987,0.82859826
12.031627,0.47472477
12.076524,0.4842804
12.133717,0.58956635
11.608086,0.8785097
12.032941,0.8015402
11.702644,0.94159997
11.605297,0.96456033
11.311773,0.7744719
11.55354,0.98025376
11.601206,0.98711485
11.4588175,0.7663824
11.811068,1.1083447
11.815576,0.5638301
11.150763,0.795668
11.87131,0.99536055
11.529578,0.85266393
11.09753,0.7794501
12.062406,0.854429
11.91505,0.8454784
11.061591,0.8703983
11.648796,0.83477384
11.556854,0.53943753
11.924897,0.3999184
11.131071,0.79201186
11.954599,0.59915215
11.634548,0.600787
11.2439,0.7478777
11.709656,0.6683039
11.61957,0.97379464
12.208095,0.75169814
11.353206,0.71796024
11.397269,0.63542783
12.129689,0.73548144
11.475281,0.65550715
11.706274,0.8108703
12.097392,0.7523853
11.823951,0.778437
11.575078,0.7878098
12.164106,0.66892046
12.112858,0.78318435
11.7900095,1.131567
11.717355,0.7662057
12.173033,0.6219942
11.929673,0.5311789
11.691802,0.9860298
11.537456,0.69529206
11.524473,0.6520711
11.053909,0.7717783
11.756697,1.0488381
12.209225,0.7054942
12.055189,0.52515376
11.743055,0.76088786
8.917418,-6.0109644
8.812078,-5.9092073
8.908384,-5.9951115
8.623139,-5.8603587
8.532441,-5.5368657
8.5279665,-5.6116505
9.40518,-5.9789424
9.332233,-6.3058987
9.377681,-6.0934315
9.495266,-6.207555
8.864589,-5.944125
9.267538,-6.1535635
9.064437,-5.779342
8.948746,-5.6714
9.044098,-5.6343327
9.602569,-5.987444
9.674166,-6.1448507
9.664231,-6.001798
9.189451,-6.6102557
9.281387,-6.5528517
9.269981,-6.5542917
9.137032,-6.0722027
9.155595,-5.8616996
9.108248,-5.874734
9.01078,-5.6542077
8.924825,-6.287806
9.037731,-5.80348
9.4477415,-5.8562813
9.530406,-6.005306
9.68731,-5.821035
9.35485,-6.2687225
9.303009,-5.9590993
9.375802,-5.990618
8.954968,-5.8659625
8.985793,-6.1187415
8.877943,-5.8806157
9.377277,-6.0977917
9.49425,-6.0215864
9.510714,-5.9920516
8.756806,-6.465132
8.991756,-6.174302
8.802496,-6.277032
8.972997,-6.6874046
9.373199,-6.037968
9.461233,-6.19154
8.959754,-5.949045
9.12229,-6.217996
9.151656,-6.1033726
9.750435,-6.2795124
