Factor1,Factor2
5.882629,9.575518
6.0844593,10.5875845
7.0747447,10.53137
4.6359267,10.158633
5.8675137,10.183301
4.8725476,10.229883
6.4783907,9.566444
7.0979004,9.842022
7.471258,10.465072
5.069151,11.21202
6.4661145,10.121127
6.256922,10.417559
5.808241,9.796671
6.49502,10.019257
5.683192,10.813583
5.5195155,11.286191
6.209893,10.422097
7.00032,10.227375
5.9974113,9.936272
6.528912,10.677966
6.74265,10.564048
6.4603596,10.067076
5.0593257,11.3853
7.1181235,10.800183
6.3250113,10.878992
5.7645965,9.883182
6.0811844,11.681529
6.1292634,11.076574
6.050202,10.372185
6.4392033,9.9172945
5.792846,9.326939
6.2381954,9.404052
5.949676,10.542249
6.4004555,9.284083
6.0328155,10.33084
6.1562314,10.512572
6.6220326,9.698444
4.8431234,10.49591
5.9290733,9.746121
6.5411453,10.43285
6.1743426,10.054696
5.4193664,10.592395
6.0214553,9.267173
5.89977,10.0938225
6.095745,10.547605
6.6483154,10.327627
5.4629436,10.773532
7.1556997,9.885273
6.0942974,9.977115
5.22194,9.729523
5.1670218,9.666965
6.490476,10.819392
6.2550025,10.5724745
6.8811936,9.378339
6.795673,10.504657
4.822226,10.079938
5.610913,10.84528
5.1619706,9.008295
7.1629386,11.1460705
5.515606,9.176534
6.468621,10.910057
5.544253,9.735001
6.3785186,10.699252
9.669576,-0.1080872
9.537833,-1.1429669
10.185417,-1.430554
9.346252,-0.7308268
9.190041,-0.30921584
10.8065195,-0.60829496
9.82462,-0.4572718
9.302836,-1.8240528
10.679892,-1.7021445
9.624225,-0.45993498
9.743728,-1.3089782
9.48974,-0.8178519
9.210954,-0.07966096
9.204834,-0.2070473
10.003704,-0.37696147
10.66492,-0.9373527
10.584155,-1.5421324
7.1139374,10.178663
5.3138747,10.176611
5.5831885,9.922667
6.182261,10.232187
6.7810235,10.379321
5.8225303,10.422366
4.46208,10.379578
5.6310277,10.911155
6.2091546,9.992346
6.4938235,10.081542
5.540303,11.408123
5.701749,11.093184
6.7995453,9.980362
4.9712176,9.364394
7.4072905,10.2500305
5.2904267,11.505717
5.4438157,11.611367
5.373696,10.294865
7.665702,10.45499
7.1651473,10.644297
5.0667634,9.740136
6.6289816,9.741993
5.9096017,10.4361105
4.555503,10.66308
6.346094,10.608942
6.060192,9.501282
6.686157,9.925008
5.63296,10.381393
6.442431,10.700542
5.909235,10.351077
7.0515513,10.58358
6.02403,11.0827
5.55596,9.791308
4.703775,9.845675
9.548558,-1.2298933
9.291076,-0.5125788
10.218937,-1.0100131
9.282555,-0.39711064
10.010165,-0.4778918
9.269344,0.024593636
8.978108,-0.57991034
10.215219,-1.3715374
10.713004,-0.7158684
10.281526,-1.3151467
10.160069,-0.2134106
10.82191,-1.4420762
9.188503,-2.0177286
9.223165,-1.0161465
9.902199,-0.8656718
9.393277,-0.96462387
9.592603,-0.3650563
9.617429,-0.2532609
9.428868,-0.35960898
8.636414,-0.40108234
9.492236,-0.7982052
9.067663,-0.9704898
9.204158,-0.71109897
10.293386,-0.4858923
9.195806,-1.9439319
9.927869,-0.7678392
10.443583,-0.9335521
10.755333,-1.3780522
10.564307,-1.24476
9.404005,-0.5127652
9.3394375,-0.9165933
9.691135,-0.96008873
9.517806,-0.49865386
10.423558,-1.3018726
9.618728,-0.810693
9.025796,-0.045892905
9.391554,-0.3174854
9.068152,-0.18711391
10.008654,-0.68104506
9.073403,-0.68666893
10.437502,-0.51937884
10.197835,-1.5007552
10.271047,-1.0613732
9.937131,-1.2191813
10.595031,-1.0110611
10.799346,-0.816079
9.892074,-0.6445218
9.299038,-1.3942027
11.041101,-1.710865
9.355868,-1.2403142
9.986734,-0.8338799
10.752861,-1.6618665
8.929391,-0.69825846
9.503327,-0.6326921
10.993611,-1.7982713
9.886442,-0.897025
10.305771,-1.6985228
9.316889,-2.0997827
11.174039,-1.7849609
9.696588,-0.80352116
10.000566,-0.21927142
10.4427,-1.3380411
9.892521,-0.25443053
9.503929,-1.4259475
8.825435,-0.2517868
10.058255,-1.3658962
10.758141,-0.5414246
9.133089,-0.4154682
10.046941,-0.8299197
9.8152685,-0.7216857
9.004543,-0.21434982
10.363887,-0.32381734
10.399285,-0.36126843
8.716775,-0.31958595
8.810099,-0.7039939
9.64628,-0.7184347
10.70123,-0.48212862
9.009634,-0.09400056
9.558838,-1.0364573
10.3475065,-0.65902466
9.618287,-1.4002221
9.674923,-0.7575506
11.081547,-1.6639185
10.198818,-0.5484121
9.17828,-0.30564976
9.30835,-0.25730482
10.545508,-0.4414573
6.8721175,-5.7851114
7.301216,-5.515038
7.040265,-5.7669153
7.1852617,-5.3422694
6.503673,-5.0106325
6.818059,-4.919696
7.9259114,-5.477069
7.7465854,-5.455699
8.0626545,-5.4691014
7.241166,-5.705944
6.20889,-6.0666475
6.5100102,-5.868994
7.529344,-5.624901
7.1949883,-5.1908097
7.5421286,-5.642095
7.33038,-4.8054667
8.423103,-5.0958123
7.977335,-4.965483
7.7494116,-4.9530587
7.2503686,-5.3549857
7.750481,-5.124122
7.3936205,-4.7100725
7.0055604,-5.263546
7.1105795,-4.8241763
7.0839233,-5.1901817
7.099851,-5.964727
7.2920265,-5.92252
6.515322,-5.410783
7.6821,-4.8262854
7.1647825,-4.915777
7.8875804,-5.9168525
7.8718004,-5.9846783
8.241797,-5.495
6.9965024,-4.0976157
7.31699,-5.5683637
7.109618,-4.5436654
7.638023,-4.7856994
7.243955,-4.7987027
7.3704615,-4.573988
7.4382086,-6.3662624
7.189835,-5.764254
7.5439034,-6.0559635
7.136882,-5.4623656
7.0449595,-5.546524
7.0269566,-5.558494
7.2380095,-4.8236103
8.165565,-4.7037535
7.629324,-4.3295326
7.9488173,-5.0581284
17.267786,0.95024747
17.133417,1.084977
17.313034,0.90566075
7.821166,-4.746265
17.121695,1.0993829
17.290363,0.93215203
8.120131,-5.135624
17.063845,1.1545672
7.989976,-5.9543834
7.7165685,-5.5012164
8.037233,-5.720407
6.7850504,-5.095397
6.819044,-4.973601
6.7650623,-5.162493
6.9699845,-5.062677
7.774568,-4.597849
7.5376444,-4.5609827
7.7434325,-5.2306085
6.535803,-5.8661337
7.2449603,-4.77216
-14.375809,-3.4550498
-15.131089,-3.7381742
-13.007537,-2.371522
-14.696832,-3.4281707
-13.349672,-2.512137
6.96651,-5.331497
7.731728,-5.537661
7.3269925,-5.148435
8.49001,-6.640147
7.326182,-6.1079893
8.387308,-6.4464808
7.8871117,-5.9519987
7.594802,-5.537289
7.928504,-5.8927627
9.28005,-4.8860397
10.12995,-4.785745
10.016637,-4.70031
8.173172,-5.257523
10.101541,-4.7567277
9.96292,-4.7928953
6.989451,-3.6328003
9.370818,-4.849195
9.291876,-4.832261
8.041199,-5.0959663
6.9551516,-4.890849
6.6749787,-5.1439834
8.889177,-7.0266767
8.162874,-5.3457394
8.648912,-6.4152994
7.54609,-6.4322443
7.368992,-6.335932
7.603584,-6.3258195
7.9758143,-5.8569684
8.015874,-6.155404
8.216616,-5.095283
8.417121,-5.735743
7.9761543,-4.9308476
8.229368,-5.544281
8.479785,-5.580209
8.383891,-5.363945
8.508534,-5.5586586
7.1173735,-5.705689
7.2854133,-6.1621494
7.1450796,-5.7313323
7.6372685,-5.359807
8.085772,-4.957723
7.941188,-5.075218
6.657683,-6.407062
8.601976,-5.2468534
8.412704,-5.39891
7.1395,-4.8148537
7.754204,-5.0190954
7.6446905,-4.584421
8.222635,-5.9956036
7.90591,-5.689823
7.9719906,-6.1683807
7.205688,-6.134612
7.0093665,-6.00302
7.1176963,-5.962407
8.774472,-5.002797
10.042539,-4.7935257
9.724982,-4.816909
-13.21528,-2.8080275
-12.90876,-2.890629
-13.057151,-3.0654476
-14.968055,-3.6590774
-14.281869,-3.29064
-14.808091,-3.3732548
6.994883,-3.5509393
6.7653413,-3.3023584
6.8348193,-3.3405597
6.813088,-4.1089764
6.948986,-4.1974583
6.6120696,-3.9759014
-12.968708,12.831362
-12.901834,12.764399
-12.982398,12.844892
6.84322,-4.905251
7.0955696,-3.7279701
7.021401,-4.0634146
6.4443645,-5.6383934
7.2490335,-3.870287
7.1179557,-3.4088166
6.7262597,-4.05948
7.047118,-4.3116713
7.258028,-4.3497577
7.0519,-3.7421417
6.852575,-3.2703655
6.935397,-3.4542763
6.889637,-3.5529466
7.0998187,-3.5857008
6.95979,-3.4219086
7.265491,-3.9268053
7.292905,-4.3861604
7.6274853,-4.25789
6.434664,-6.3107
6.469196,-6.003108
6.5549965,-6.105902
6.8408237,-3.7668529
-12.8290415,12.691165
-12.861914,12.724862
5.925804,-3.8317215
6.2796807,-4.314392
6.1243763,-4.024849
6.755641,-3.0832348
6.7589674,-3.310106
6.763885,-3.0901854
5.7938824,-3.6530156
6.0699506,-3.8985171
5.8392925,-3.7188663
7.3256373,-3.2053638
7.3477025,-3.733751
7.420996,-3.3857408
-15.147998,-3.8048074
-14.582114,-3.629661
-14.94094,-3.904041
-13.702801,-3.5919964
-14.281321,-3.673661
-14.939527,-2.654209
-14.89176,-2.7558546
-14.972836,-2.5036268
-15.243371,-3.2807465
-13.610367,-2.6724653
-14.160823,-3.0520163
-15.352765,-3.528121
-13.601183,-3.2012722
-0.13944992,6.833644
0.5915923,7.870268
0.16289783,7.2803426
1.1799356,7.269421
0.38426337,6.3613553
0.380813,7.37696
0.35835785,7.6416726
0.83582264,7.7990327
1.5025386,6.5747457
1.365645,7.153752
1.0945975,7.587043
1.0191029,6.8080487
0.6765376,7.560753
0.72711825,7.7017436
0.5612556,7.467403
-14.571981,-3.7422245
-14.045325,-2.8056715
-12.16507,-2.5012188
-12.95106,-3.0027165
-12.019316,-2.1588144
-11.844592,-2.116761
-12.067691,-2.2023184
-14.641934,-2.688636
-14.509076,-2.7373834
-14.771643,-2.5048318
-14.124642,-3.7025244
-14.622255,-3.1750686
-14.526211,-3.2888448
-14.490631,-3.3428273
-10.817287,-1.4445106
-14.024669,-3.8292103
-14.8585005,-2.6670916
-14.595863,-1.983311
-14.670104,-1.8223385
-14.313897,-1.9780974
-14.443936,-2.1344
-14.62886,-1.8432547
-14.411933,-2.2105815
-14.245548,-1.9456751
-14.405686,-1.8221486
-15.424742,-3.607465
-12.025634,-2.295879
-13.239644,-2.5059023
-13.647515,-2.6000109
-13.839251,-2.3047476
-12.260145,-2.7263253
-13.737898,-3.45233
-12.632197,-3.0001912
-14.282346,-3.2876635
-13.807161,-2.2255023
-13.886686,-2.4871168
-13.081798,-2.657942
-13.050154,-2.4589524
-13.106997,-2.5530682
-11.664191,-2.090943
-13.8826885,-3.197693
-13.92051,-3.2360275
-13.680082,-3.0976412
-14.009247,-2.8239117
-14.6996355,-1.9017533
-14.538321,-1.8642343
-13.414547,-2.095928
-13.655732,-1.6510919
-13.657811,-1.5212089
-13.66924,-1.4926364
-14.744658,-3.2495837
-14.964195,-3.2838588
-14.791337,-3.0647252
-12.619711,-2.5104916
-0.9911302,-12.170352
-10.555504,-1.2791916
-13.498881,-2.6033773
-13.837465,-2.509415
-7.9590373,-2.366777
-6.803579,-0.93842983
-7.2786117,-1.9475253
-6.2949514,-1.3315748
-6.4879436,-0.60531735
-6.979475,-0.1056354
-6.612012,-0.48818216
-8.240299,0.11125887
-7.838754,-0.25248855
-7.7566733,0.19995116
-7.272363,-0.03675212
-7.0667324,-0.15722613
-7.3736844,-1.8023041
-7.7976623,-0.5336517
-7.364794,-0.69565946
-7.4034615,0.45090577
-6.998222,0.8137206
-7.339724,0.52973664
-8.482557,0.07247154
-6.7812057,-0.5298966
-8.0456085,-0.3224976
