Factor1,Factor2
4.064217,5.9394374
3.8056474,4.765056
5.1557713,5.5848002
3.9114003,6.054243
5.0348086,5.0630827
4.1948943,5.1505723
5.4291306,5.14093
5.385729,5.069618
4.6956143,5.6019077
5.1252522,4.822863
3.2880478,5.8680153
3.6230402,3.6432598
4.4303527,4.0784903
-0.009509304,3.3411164
4.8151813,5.527892
3.868225,4.979998
4.957742,5.685762
4.241029,4.473152
4.5526805,4.889068
3.560842,5.787628
4.8207903,5.7310843
4.527306,5.8855853
4.996652,4.6463113
3.64556,5.4820876
4.973976,5.1070757
4.03389,5.85105
4.8782682,4.71807
4.4810615,6.008535
4.9639297,4.990927
4.1195745,5.3711753
4.823287,4.7545104
4.2580657,4.832607
5.011999,5.6379733
4.383793,4.840247
5.035971,5.654529
3.6388006,4.734516
5.006237,4.0817404
5.343692,5.2457175
3.156981,4.974289
3.4860556,5.238796
4.707904,5.3123794
3.5451953,4.462312
3.231847,5.0259657
4.2812185,6.1463046
4.3506937,5.990557
4.4883895,5.4205027
4.893466,5.1984363
3.7892394,5.4771256
5.3897133,4.6320024
3.7282748,5.645711
4.0728884,5.246266
4.2226973,4.3461227
3.240374,4.9190435
4.769116,4.8998594
4.4104433,6.196008
5.4975343,4.94957
3.659037,4.689095
3.1546087,5.695481
3.2634654,4.3281894
3.439017,5.0704
5.1743693,5.2945194
3.2449372,5.091284
4.0744877,6.1131406
-1.7194204,2.658908
-1.2148869,2.6015537
-0.5324498,2.9238002
-1.1018399,2.5108337
-1.6397635,2.439125
-1.0190352,2.7091537
-1.3678111,2.447384
-1.4932349,2.7235186
-1.1446451,2.723117
-1.5158719,2.7936912
-1.0724038,2.4902298
-1.4979749,2.381397
-1.3907639,2.3942947
-1.5394874,2.624271
-0.9615784,2.8654084
-1.5329398,2.5476782
-1.0323695,2.91388
5.017706,5.637647
4.0619535,5.3672976
3.2652311,4.3946447
3.3523858,5.705134
4.295438,4.245743
3.8166227,3.5963955
4.3655825,4.6658716
5.114572,4.8938456
4.585957,4.940361
4.6369348,5.8478894
4.090982,5.9590826
4.75505,5.5144496
4.3797097,5.6175275
4.8940277,4.607988
4.580388,5.7397404
4.927883,4.8857265
4.8881025,4.5295954
4.184287,5.7760696
3.7862458,5.445934
3.356762,5.8852468
4.5829587,5.96883
3.924906,4.894173
3.814794,4.089057
5.020485,5.4522033
3.6574073,4.6397257
5.147612,5.5865192
3.5984936,4.7372627
3.8681386,4.3352213
4.098146,6.044741
4.769147,4.756352
4.6743627,5.8396754
3.2808256,5.6084495
4.159024,6.0460796
3.1645238,5.398338
-1.4375106,2.5896919
-1.430576,2.2130256
-0.8680806,3.0702655
-1.4646137,2.359739
-1.2123566,3.0000613
-1.5534002,2.1438384
-1.4787058,2.2416592
-1.4221207,3.0468154
-0.661508,3.1524627
-0.42312142,3.240902
-1.4394203,2.8448818
-0.45062098,3.0089269
-1.5415862,2.4570944
-1.6284418,2.8308227
-1.3164868,2.7251835
-0.89662546,2.5779338
-1.0225197,2.6757545
-1.5394652,2.265265
-1.2441828,2.322448
-1.4328698,2.1255283
-1.1066134,2.3158698
-1.2935636,2.4639325
-1.1368281,2.3534493
-0.37095648,3.086753
-1.532053,2.54011
-1.321845,3.029614
-0.83733535,3.0115862
-1.1766118,2.8709457
-0.58198524,2.7577128
-1.5730641,2.869105
-1.4720808,2.740525
-0.6305726,3.0845697
-1.4753222,2.4995735
-1.1246066,2.9995513
-1.5656096,3.0071042
-1.5396439,2.8459797
-1.4942799,2.6878006
-1.6780928,2.4290602
-1.2324272,2.9284484
-1.4659278,2.1665606
-0.5892475,2.7978756
-0.48915833,2.900567
-1.3313733,2.9539475
-0.6029905,2.9304006
-0.8733429,2.7321112
-0.68160176,3.1662972
-1.3845046,2.9964552
-1.3400593,2.4541798
-0.52945995,3.068691
-1.0851111,2.7817423
-1.408746,2.3588688
-0.93375677,2.758465
-1.6592546,2.3281565
-1.8080758,2.6773007
-0.6379817,3.0333784
-1.4620444,2.994686
-0.75401914,2.812385
-1.4773457,2.5754862
0.0633065,3.384672
-1.0102385,3.1347306
-1.5056055,3.0007687
-0.52611613,2.8591664
-0.9359102,2.6654058
-1.542038,2.588112
-1.6600108,2.4643009
-0.8302807,2.6578
-0.7500834,3.014652
-1.48063,2.1189475
-1.4882749,2.9475741
-1.5442771,2.8104935
-1.3158007,2.364896
-1.1032931,2.375259
-1.7858104,2.6207888
-1.6908023,2.6897027
-1.4884485,2.0769658
-1.3033901,2.2390013
-0.54041904,2.8726318
-1.5725704,2.1942189
-1.4549088,2.6738806
-0.6203816,3.077056
-1.1969062,3.097256
-0.73677444,2.6491854
-0.23154864,3.204886
-0.60189474,2.8793552
-1.5416192,2.5208395
-1.4996537,2.7283838
-0.5481858,2.8646305
-4.060293,11.274879
-4.117174,11.501808
-3.9593608,11.137047
-3.244564,9.483673
-4.3486843,9.189927
-3.4141023,9.043532
-3.570682,10.059658
-3.1431258,9.149784
-3.9451826,9.513917
-3.720355,11.013279
-4.014121,10.954887
-4.229228,9.55089
-3.8660855,9.616765
-3.6522539,10.970978
-3.4199219,10.164734
-4.3529754,10.813309
-3.3534946,9.846772
-3.5526688,10.200961
-4.041435,11.184456
-4.364324,9.999113
-4.2699733,11.0130825
-3.4992323,10.086339
-2.8578372,11.093034
-3.51901,10.853385
-4.306886,10.77213
-3.660743,10.356406
-4.0619755,10.56938
-3.3219566,10.88495
-3.3419127,9.474963
-3.683458,10.7829895
-4.2177544,10.672209
-3.1886356,9.639039
-3.5255952,9.7475815
-4.208032,8.957428
-4.090283,11.492347
-3.573659,10.686266
-3.5996323,11.20544
-3.1575313,10.022526
-4.2490172,10.827676
-4.5354266,10.330351
-4.2843995,10.737456
-4.517328,10.529772
-3.0394008,11.508976
-4.09552,11.467046
-3.2052321,11.021962
-3.8108504,10.608959
-2.5896933,10.561168
-3.0741067,9.7212715
-3.9464228,10.214788
-3.8713758,9.600344
-4.1161523,9.860971
-4.008363,9.483664
-4.3067074,9.725477
-3.990049,9.510044
-3.8046842,9.750937
-3.433102,9.170539
-3.5816884,10.428803
-3.8021095,8.683241
-3.5295112,10.634808
-3.500363,10.393971
-3.8401864,10.255119
-3.5661848,10.350028
-3.9755049,10.1283865
-3.0273905,10.075968
-4.4462066,10.7095995
-4.341765,10.692491
-4.0739093,10.550445
-3.067233,9.225276
-3.7249334,10.82282
6.094419,-4.9555545
5.169794,-3.8127732
7.4775066,-6.666887
5.694027,-4.449078
6.797557,-5.7299986
-3.572997,9.966646
-4.330675,10.951141
-3.5949588,10.642186
-3.3020234,9.627823
-4.4498568,10.352062
-3.3905146,9.682896
-4.510452,10.621857
-4.284505,10.478389
-4.4921002,10.37591
-4.0407624,10.018435
-4.057008,10.840963
-4.032597,10.168733
-3.2623823,10.478699
-3.6762486,11.08054
-3.7103806,11.00414
-3.8715093,9.424543
-4.1211443,10.089864
-4.369725,9.598781
-4.112506,11.489825
-3.2990632,10.60047
-3.4821868,11.245612
-2.8664823,10.839847
-4.149205,10.571455
-3.2852027,11.029222
-3.8199506,10.800864
-4.372296,10.51366
-4.507285,10.242301
-3.2188864,9.930757
-3.2261896,9.690078
-4.0545077,11.352406
-3.500314,10.764134
-3.9506028,9.708092
-4.2351465,9.4121
-3.968297,10.450659
-3.1660118,10.921263
-3.4045882,10.086658
-4.114164,11.530273
-4.237201,8.279727
-4.0631475,11.303866
-2.9311635,11.284536
-3.7036612,10.461471
-3.63064,10.933049
-2.8819818,8.7404995
-3.153913,9.3160715
-3.339245,9.729782
-4.3419743,8.575984
-4.346973,10.838748
-4.361531,10.6941185
-3.5233488,10.699783
-4.0688663,9.813937
-3.773761,9.98677
-3.2860596,8.470965
-3.2348902,10.181509
-4.034287,11.027593
-3.2788818,9.36123
-4.2368627,10.283375
-4.4098983,10.537822
7.67607,-5.736746
7.6908526,-5.824552
7.649493,-5.7843003
5.318167,-3.8625176
6.2274885,-5.2692175
5.784723,-4.443555
-3.9978456,9.424158
-3.2020266,11.090406
-3.3499753,10.842316
-4.283939,9.414736
-3.4098108,9.293901
-3.9693131,9.3575325
-3.5673916,9.271029
-3.698633,8.723893
-4.1722775,9.194356
-3.2366,11.407564
-3.9395628,10.626886
-3.9261622,10.764372
-3.3753264,9.316448
-4.368144,9.678944
-4.3094134,9.51116
-3.4611936,9.446281
-3.4040272,8.287157
-4.554259,10.10653
-3.368955,9.6768875
-3.775137,10.764641
-3.2907777,9.862426
-3.6749659,9.677238
-3.9169154,9.578383
-3.953895,9.508008
-2.5928202,10.221509
-3.6702187,9.5491905
-3.1527448,9.581604
-3.1376693,9.2499895
-3.4637482,8.782654
-3.9412732,9.369084
-3.7928746,9.83747
-3.6789672,9.550789
-3.9329267,9.338935
-3.2092574,11.27383
-4.249483,9.0876665
-4.104056,9.379229
-3.4101162,11.061298
-4.3532233,10.460439
-3.9663174,9.949641
-3.869372,10.022836
-4.32695,10.362773
-4.305444,10.111719
-3.5708733,9.654209
-3.3267589,9.466682
-3.5368364,9.69021
4.8546257,-3.4771671
5.4732757,-4.615958
4.9923906,-4.2670226
6.425731,-5.980463
6.147118,-4.9830832
5.3538103,-3.9802728
5.438902,-4.042567
5.4284964,-4.051797
5.0310035,-3.6804423
6.745634,-5.4191685
5.9646,-4.3449144
5.0805387,-3.6404078
5.926548,-6.7457747
-3.5281584,8.665682
-4.4250636,7.46513
-4.425835,8.298621
-4.0844736,9.205265
-4.345621,7.2660456
-3.6790311,8.140213
-3.3584611,8.181662
-4.345604,8.395369
-3.4229472,8.581902
-3.3387163,9.504951
-3.3838167,8.841706
-3.8013384,7.841823
-4.165932,7.355112
-3.3661253,8.206068
-3.2261848,8.908778
5.6568418,-4.0628324
6.2433333,-4.5013366
8.00833,-6.6451173
7.6431527,-5.981467
7.8100147,-6.7529073
7.7761216,-6.815852
7.6063576,-6.747577
5.3967543,-4.8472342
6.467748,-4.188435
5.820861,-4.363959
6.654244,-5.43401
5.831701,-4.279903
5.69383,-4.5102463
5.6843705,-4.375635
8.306813,-7.4792886
7.801707,-5.829683
5.67527,-4.3832283
5.953415,-4.6691246
