Factor1,Factor2
-12.573624,-8.123049
-13.120631,-8.239047
-12.931221,-8.796303
-12.137294,-7.9505725
-13.227602,-8.044124
-12.484364,-8.017792
-12.8012295,-8.110577
-13.312661,-8.199879
-13.52855,-8.485636
-12.233583,-8.265136
-12.780506,-8.296821
-13.20765,-8.314182
-13.244846,-7.9371033
-13.143252,-8.246225
-12.587748,-8.465022
-12.13472,-8.737103
-13.342113,-8.063305
-13.264102,-8.443473
-13.172305,-8.018235
-13.008932,-8.631316
-13.303069,-8.489458
-13.111566,-8.255124
-12.05605,-8.329058
-13.090324,-8.852911
-12.90286,-8.693448
-12.831508,-7.833452
-12.347739,-8.9800415
-12.822436,-8.542269
-12.259155,-8.51116
-13.125766,-8.175358
-12.764565,-7.737372
-12.89968,-7.614152
-13.127982,-8.261063
-12.926845,-7.8722215
-13.340749,-8.139121
-13.333251,-7.980152
-13.4094305,-7.993234
-12.135158,-8.143972
-13.007276,-7.7618837
-13.135552,-8.486711
-13.241755,-7.8559666
-12.78353,-8.100928
-12.870879,-7.6589847
-12.789295,-8.044526
-12.195383,-8.602238
-13.400496,-8.179175
-12.505946,-8.348772
-12.919085,-8.213372
-13.149348,-8.004321
-12.57415,-7.859644
-12.491794,-7.656937
-13.316814,-8.246007
-12.294627,-8.672385
-13.051901,-7.7846994
-13.328913,-8.475762
-12.472013,-7.7607074
-12.793863,-8.348303
-12.352612,-7.57581
-12.890078,-8.941825
-12.4234915,-7.623029
-12.980706,-8.591034
-12.533022,-7.871791
-12.677877,-8.696246
-5.035611,-19.830605
-5.4734497,-19.556505
-5.5211277,-19.01937
-5.2674656,-19.626005
-5.279384,-20.043428
-5.0958376,-19.175627
-5.234932,-19.671612
-5.654432,-19.705421
-5.561704,-18.888155
-5.546758,-19.703695
-5.320086,-19.552067
-5.1672416,-19.709478
-5.118009,-19.95936
-5.2093806,-19.949068
-5.359672,-19.317545
-5.284098,-19.106062
-5.5327253,-18.87591
-13.114761,-8.612429
-12.536746,-7.928374
-13.158125,-7.7935677
-13.260979,-8.003126
-13.158968,-8.495739
-13.023975,-7.9341555
-12.292807,-7.95935
-12.338777,-8.578148
-13.040724,-8.0731125
-13.282189,-8.420093
-12.405763,-8.63426
-12.65217,-8.693563
-13.2965555,-8.375239
-12.104503,-7.6583195
-13.476876,-8.55485
-12.158779,-8.667516
-12.3928585,-8.594098
-12.41641,-8.21865
-13.509087,-8.51621
-13.282578,-8.567902
-12.447385,-7.849408
-13.311105,-8.04406
-12.925677,-8.141383
-12.041224,-8.533118
-13.285404,-8.249616
-12.642357,-8.115665
-13.190829,-8.195866
-12.826041,-7.997525
-13.110783,-8.611942
-13.075973,-8.084207
-13.410851,-8.51422
