Factor1,Factor2
-4.790902,-9.815846
-5.3217287,-10.0770445
-5.9145017,-9.900604
-4.248372,-9.178045
-4.9753547,-10.436506
-4.225635,-9.381976
-4.942946,-9.945004
-5.3570213,-10.87276
-5.9124866,-10.74965
-4.54893,-9.092669
-5.106062,-9.557946
-5.282332,-10.1985855
-4.888581,-10.418712
-5.4082108,-10.137743
-5.22175,-9.537594
-5.350369,-8.7970295
-5.2149215,-10.549229
-5.5845537,-10.561406
-4.974768,-10.179886
-5.6143355,-9.85358
-5.833102,-10.353653
-5.4327354,-10.244004
-4.823989,-8.500496
-6.1413035,-10.016242
-5.7250185,-9.474116
-4.691233,-10.165717
-5.938036,-8.7043705
-5.3105903,-9.611744
-4.9979,-9.389911
-5.060962,-10.352145
-4.493875,-10.019288
-4.3841786,-10.38771
-5.2842,-10.142294
-4.83544,-10.634165
-5.2787123,-10.367408
-5.28901,-10.595337
-5.244818,-10.424774
-4.502498,-8.930794
-4.537849,-10.324135
-5.485677,-10.170107
-4.841372,-10.801273
-4.9735885,-9.709075
-4.334616,-10.421795
-4.894993,-10.033055
-5.222895,-9.073014
-5.336115,-10.699159
-5.007976,-9.127376
-5.378531,-10.391597
-4.820706,-10.423396
-4.295562,-9.835029
-4.174476,-10.036421
-5.507833,-10.241195
-5.337458,-9.344465
-4.8459954,-10.745121
-5.736736,-10.435467
-4.144492,-9.207045
-5.189967,-9.297466
-3.8130882,-9.947076
-6.0890417,-10.108498
-4.0960107,-9.740343
-5.622393,-9.806674
-4.3767204,-9.641075
-5.5200253,-9.464246
-2.6605515,-15.652782
-3.185478,-15.371098
-3.6697116,-14.805474
-3.0357363,-15.700784
-2.513506,-15.99881
-3.7511423,-15.669814
-2.9414062,-15.32928
-3.0320468,-16.066353
-4.292028,-15.419123
-2.726078,-14.934513
-3.3387623,-15.523204
-2.8521411,-15.660115
-2.3319457,-15.623926
-2.26366,-15.638294
-3.341152,-14.9208
-3.9949276,-15.2983465
-4.1508565,-15.435073
-5.8694687,-10.201162
-4.3695188,-9.670649
-4.5867624,-10.496932
-4.9478383,-10.405183
-5.6125927,-10.07909
-4.9362717,-10.078208
-4.389633,-9.026557
-5.0495267,-9.096382
-4.9836683,-9.958252
-5.4858217,-10.150918
-5.6022177,-8.894048
-5.429809,-9.192174
-5.411436,-10.168024
-3.671097,-9.596098
-5.948106,-10.634046
-5.20899,-8.475084
-5.3771415,-8.786685
-4.581363,-9.350483
-6.006426,-10.864881
-5.943189,-10.308378
-4.082272,-9.560336
-4.901476,-10.809943
-5.043682,-9.844229
-4.812362,-8.620483
-5.5348945,-10.517615
-4.453379,-9.861788
-5.1412354,-10.522488
-4.882449,-10.046517
-5.56361,-10.048367
-5.133911,-10.291241
-5.587326,-10.454575
-5.5110717,-9.025188
-4.4751763,-9.811702
-4.0116014,-9.145297
-3.1410651,-15.14141
-2.4924283,-15.4687395
-3.8360856,-15.3315735
-2.5801182,-15.823039
-3.253043,-14.93215
-2.2761893,-15.900368
-2.5028245,-15.383572
-3.9441042,-15.11253
