Factor1,Factor2
-7.3900037,-12.620852
-6.6517534,-13.361334
-7.9027076,-12.409005
-6.5745964,-13.060502
-7.42664,-13.041186
-6.1245003,-13.452927
-6.3067718,-13.406404
-6.4492564,-13.081351
-6.236173,-12.794349
-6.4475284,-13.077916
-7.067516,-12.870676
-6.4007583,-13.122108
-6.426452,-12.683748
-7.4132767,-12.639698
-7.636845,-12.203085
-7.6862803,-12.845603
-6.2720976,-13.152977
-6.4129386,-13.924677
-6.418884,-13.86081
-6.4440904,-13.778311
-6.8984137,-13.108072
-7.4695315,-13.356507
-7.9703856,-13.4149685
-6.805862,-13.612098
-7.7868586,-12.585419
-6.3779063,-13.332548
-7.2386894,-12.566176
-7.786785,-13.058653
-7.112687,-12.621316
-6.3507023,-13.336233
-6.8466043,-13.433201
-6.5663514,-13.624135
-7.06082,-12.872685
-7.1754045,-13.912304
-7.6125517,-12.851715
-6.596265,-13.25822
-6.2589083,-13.5738125
-6.787709,-13.415487
-6.1138034,-13.272455
-6.830223,-13.502735
-6.959899,-12.661687
-6.7732286,-12.855792
-6.281928,-13.543863
-7.680427,-12.391904
-6.654949,-12.943857
-7.0186925,-13.189978
-7.963438,-12.92413
-7.2041025,-13.1384535
-7.1874332,-12.679148
-7.3059196,-13.202318
-7.0447083,-13.412284
-6.5700994,-12.668718
-7.317838,-13.377541
-6.244547,-13.646291
-7.2250447,-12.722781
-6.491317,-13.549156
-7.4317746,-12.9768505
-7.161834,-13.440322
-7.0661116,-12.907676
-6.3871636,-13.280797
-7.3929086,-12.90142
-7.0538135,-12.860104
-7.4907827,-13.176676
-19.091827,-13.777978
-19.651524,-14.36817
-18.549643,-14.497145
-19.646805,-14.28456
-19.506233,-13.649783
-18.622433,-13.847888
-19.208254,-14.130731
-19.072544,-13.352017
-18.377213,-14.4905815
-19.760118,-14.396048
-18.8086,-14.21427
-19.492954,-13.989278
-19.69803,-13.885805
-19.680521,-13.708831
-19.507002,-14.616295
-19.095171,-14.320736
-18.314901,-14.330505
-6.320792,-13.501981
-6.7997437,-13.920585
-6.524261,-12.955799
-6.368746,-13.891115
-6.561397,-13.049795
-6.8838224,-12.9056015
-7.9277616,-13.230304
-6.92151,-12.980506
-6.909945,-13.230094
-6.9076557,-12.751728
-7.728408,-12.193893
-6.9622684,-12.883123
-6.747189,-13.759301
-6.7683926,-13.264492
-6.2495103,-12.929467
-7.5552254,-13.292101
-7.531292,-13.593769
-7.219659,-12.709543
-7.7531114,-12.363192
-7.131228,-13.306674
-6.652549,-13.426607
-6.3713613,-13.93344
-7.5219564,-13.432073
-7.1767573,-12.918371
-6.6649475,-12.564277
-6.957396,-12.999784
-6.732795,-13.256419
-6.7634697,-13.100471
-7.704309,-12.462798
-6.771992,-13.441278
-7.2451,-12.984609
-6.674223,-12.998089
-7.217788,-13.164279
-7.0508223,-13.726315
-19.344263,-13.968536
-19.493858,-13.984831
-18.833889,-14.070888
-19.846462,-14.170645
-19.346018,-14.530749
-19.68363,-13.68989
-19.540356,-13.569747
-18.88404,-14.276383
-18.62781,-14.018649
-18.672796,-14.365006
-18.875456,-13.878903
-18.352081,-14.5790615
-19.072412,-13.202924
-19.594353,-14.312594
-19.481133,-14.11838
-19.24797,-13.885949
-19.401913,-14.521604
-19.293324,-13.803919
-19.536724,-13.799494
-20.034801,-13.737008
-18.977892,-13.353942
-19.2123,-13.610186
-19.338747,-13.364425
-18.57791,-14.061754
