Factor1,Factor2
4.842231,2.8069038
6.087617,4.008667
3.731467,4.1519356
4.9866424,2.425906
4.3070054,4.353937
5.2246575,3.767275
3.7736874,4.564441
4.0027676,4.5188117
4.445804,3.5037444
4.1979117,4.7756133
5.725391,2.2568524
7.0727124,4.818629
5.5979986,4.869905
4.810596,2.1778102
4.117132,3.7864516
5.836948,3.5578048
3.9392078,3.751701
5.6199145,4.2390833
4.7631764,4.5154104
5.4857483,2.629463
3.8386605,3.2366095
4.218706,3.1309264
4.465696,4.7992234
5.696449,2.7742603
4.376124,4.2953763
5.111026,2.4293618
5.291511,4.901855
4.034528,2.8582935
4.6358013,4.2135983
5.1874,3.4779043
4.6983976,4.6196985
5.2880006,4.261347
3.7603402,3.8995998
5.068844,4.3775077
3.5886035,3.8579464
6.22763,3.351496
5.082773,5.208035
3.9906342,4.275245
6.46633,3.1093626
6.1621895,3.0645196
4.197826,3.7409623
6.443837,4.099088
6.606152,3.1807618
4.540961,2.561489
4.2823014,3.0443738
4.6067066,3.6817026
4.6248865,4.0171695
5.5106993,3.024897
4.0646505,5.104384
5.5394144,2.818101
5.339632,3.4401913
5.801919,4.6363964
6.5623736,3.3023958
4.7656646,4.189781
3.8212922,2.6255872
3.8722177,4.738796
5.8709683,4.1862187
6.0982637,2.4258504
7.0786114,3.7495968
6.215042,3.3030562
4.0361304,3.910279
6.430541,2.9836977
4.4955163,2.605412
6.9136143,-0.8223526
7.028105,-0.0477031
6.3889933,0.7611483
7.157213,0.035371404
7.4593906,-0.78229874
6.6326666,0.015461689
7.3877234,-0.3076502
7.007624,-0.85491896
6.89858,-0.06609052
6.792737,-0.39545885
7.074795,0.006342864
7.38405,-0.4886992
7.546082,-0.270597
7.298574,-0.7495212
6.42464,0.24894646
7.0761895,-0.5849299
6.5578756,0.19062163
3.7907526,3.5816576
5.2263355,3.1414208
6.794185,3.7076545
5.797396,2.6799932
5.7588787,4.7442274
6.8415794,4.9963093
5.306453,4.348834
4.24521,4.829987
4.6633773,4.4250703
4.1642594,3.2080908
4.6061635,2.557254
4.017543,3.820447
4.559078,3.1306891
4.81605,4.6001067
4.2682333,3.123718
4.7676764,4.4957733
5.265001,4.9886575
5.069325,2.7888892
5.52902,3.1115935
5.700105,2.3418481
4.125288,2.9012396
5.9024415,3.7870338
6.203838,4.620665
3.8620837,4.0271797
6.1663566,4.119149
3.619659,4.0066466
6.0730658,3.9024692
6.1682863,4.3863106
4.4307084,2.76841
4.9668055,4.451672
4.1458716,3.2744572
6.06144,2.58529
4.3963766,3.0031161
6.172609,2.9022782
7.107436,-0.4703915
7.7060637,-0.37732992
6.2737055,0.1844791
7.5701513,-0.5351575
6.291272,-0.33473003
7.8771124,-0.5677906
7.6406283,-0.7599048
6.352268,-0.49270803
6.1292067,0.49152368
5.7407684,0.8402871
6.9591794,-0.58097124
6.0060077,1.0866287
7.508503,-0.6181325
