Factor1,Factor2
-17.006153,-8.223323
-16.605492,-8.397201
-16.50543,-8.172382
-17.518463,-8.003082
-16.839024,-8.355755
-17.471529,-7.978073
-17.33098,-8.255715
-16.871918,-8.5486355
-16.569588,-8.597449
-17.35636,-7.730598
-17.12904,-8.124004
-16.740273,-8.412237
-16.947868,-8.503342
-16.871355,-8.278272
-16.846132,-8.000963
-17.01685,-7.566107
-16.748512,-8.505534
-16.581041,-8.374346
-16.914198,-8.294537
-16.616844,-8.157537
-16.577173,-8.335679
-16.850471,-8.363098
-17.2734,-7.6150904
-16.520578,-8.19204
-16.708683,-7.9921465
-17.12632,-8.441263
-16.68023,-7.6039743
-16.82654,-8.017115
-17.129261,-7.9158773
-16.85446,-8.431527
-17.3458,-8.17599
-17.348106,-8.527052
-16.668575,-8.3361635
-17.03601,-8.538186
-16.73566,-8.452117
-16.766075,-8.515188
-16.79024,-8.55737
-17.41107,-7.8216753
-17.159296,-8.352489
-16.673914,-8.347955
-16.773672,-8.4255
-16.936049,-8.229675
-17.242506,-8.484648
-16.96024,-8.262122
-17.132095,-7.8283052
-16.765408,-8.532273
-16.858221,-7.9188967
-16.955679,-8.561361
-16.933702,-8.338235
-17.13768,-8.349349
-17.275524,-8.321628
-16.683563,-8.297451
-16.907549,-7.81905
-17.168472,-8.627652
-16.595331,-8.39533
-17.31827,-8.0551
-16.795366,-8.012036
-17.598866,-8.428657
-16.445517,-7.949832
-17.476551,-8.252736
-16.686314,-8.100469
-17.381557,-8.130074
-16.896452,-7.9314055
-13.053607,-13.993463
-13.21278,-14.053702
-13.585636,-14.167646
-13.203437,-14.01443
-12.926025,-13.947171
-13.4475975,-14.22728
-13.156172,-13.947093
-13.023032,-14.207529
-13.667603,-14.266832
-13.282857,-13.91366
-13.336757,-13.966965
-13.087862,-13.957348
-12.8963995,-13.882654
-12.940891,-13.900973
-13.412069,-13.989908
-13.520318,-14.177393
-13.657457,-14.270589
-16.569061,-8.278085
-17.31434,-8.10728
-16.850727,-8.442664
-16.682728,-8.346378
-16.531607,-8.217278
-16.790417,-8.289693
-17.515678,-7.866015
-17.0234,-7.9581923
-16.81724,-8.371798
-16.651474,-8.248687
-16.89574,-7.6159067
-16.696966,-7.8503385
-16.6285,-8.315139
-17.662136,-8.199057
-16.615637,-8.495735
-17.063353,-7.549237
-16.968157,-7.6070166
-17.028172,-8.083865
-16.53199,-8.558101
-16.629179,-8.456961
-17.531149,-8.087673
-16.814476,-8.482969
-16.88656,-8.307854
-17.252298,-7.7839136
-16.629896,-8.406778
-17.233131,-8.289238
-16.72714,-8.523595
