Factor1,Factor2
5.0706186,-12.682654
6.6633005,-12.738997
4.7639327,-12.4122505
6.035541,-13.607857
5.472175,-12.482149
6.451151,-12.867917
6.2670536,-13.293016
5.9139194,-13.129365
5.751388,-13.671327
5.9791107,-13.527073
5.391323,-13.0948515
6.126135,-13.24468
5.989962,-13.613193
4.985639,-12.624556
4.8351703,-12.764684
5.165661,-12.68705
6.1549087,-13.458701
6.8052344,-12.8417425
6.767318,-12.889356
6.6879373,-13.005601
5.84195,-13.007081
5.6489983,-12.464897
5.588145,-11.915651
6.392431,-13.026049
5.1841455,-12.330941
6.2474594,-13.449945
5.139537,-13.217093
5.444001,-12.036215
5.4022784,-13.141876
6.474161,-13.261232
6.12814,-13.002301
6.889202,-12.747781
5.681813,-12.659526
6.5405235,-12.451329
5.2904506,-12.28451
6.5695515,-13.041066
6.8111515,-13.010178
6.3021727,-12.900768
6.3790846,-13.542422
6.387221,-12.729576
5.437647,-13.131149
6.1104436,-13.201567
6.529929,-13.208586
4.897284,-12.513741
5.6511393,-13.422458
5.994081,-12.65126
5.1649795,-12.132772
5.4474273,-13.312379
5.287214,-12.684122
6.4085565,-12.58892
6.474847,-12.460411
5.4814296,-13.482861
5.6079907,-12.813139
6.729277,-13.264916
5.2051816,-12.896525
6.6890974,-13.148618
5.3249536,-12.503932
5.634309,-13.384702
5.6288347,-12.809747
6.3375244,-13.210765
5.5891075,-12.102329
5.8988066,-12.754714
5.805291,-12.287683
-13.0167885,-1.9627249
-12.406058,-2.407852
-13.577901,-2.8975077
-12.633762,-2.1099293
-12.557271,-1.5815985
-13.332544,-2.275928
-12.871196,-2.2512982
-13.181426,-1.4271964
-13.786461,-2.9325702
-12.292811,-2.5833032
-13.293024,-2.3570561
-12.442691,-2.193974
-12.556566,-1.7490109
-12.287885,-1.9321523
-12.480067,-2.578307
-13.007967,-2.4748788
-13.66831,-2.7127054
6.4658017,-13.406532
6.6273727,-12.562785
5.882889,-13.24971
6.9790435,-12.693251
5.914003,-13.4043
5.6201887,-12.562773
5.415716,-12.298815
5.803369,-12.943317
6.2308593,-12.898056
5.549043,-13.001933
4.54882,-12.64633
5.625365,-13.162876
6.411083,-12.627586
5.8688016,-13.326644
6.0649724,-13.432177
