Factor1,Factor2
5.0954638,5.7446938
3.984114,4.3863935
6.2419934,5.0788174
4.968317,5.8960505
5.445225,4.893843
4.583541,4.9514236
6.117592,4.1307726
6.04601,4.2133656
5.375985,5.291938
5.814575,4.3545957
4.121996,6.0670605
3.5364084,3.2387013
5.09291,3.3656094
7.8236394,9.01605
5.754219,4.9197836
4.3749585,4.344606
6.152343,5.269538
4.650147,3.5892625
5.3003287,4.5503545
4.5198407,5.9211054
5.58723,5.535533
5.3641443,5.1918783
5.5961924,3.8241117
4.3920126,5.2882533
5.619077,4.7772465
4.829532,5.651236
5.1942534,3.5143554
5.3216076,5.8242693
5.343187,3.8664904
4.864544,4.6606774
5.181775,4.1567044
4.949443,4.390153
6.0537663,5.1505795
5.6902876,4.140656
6.2536483,5.002643
4.0783796,4.398896
5.3018756,3.469329
6.189317,4.0983663
3.0677407,4.256154
3.9967868,4.997905
5.766827,4.962147
3.831789,3.9420786
3.7689328,4.8654017
5.0953016,5.7112637
4.777057,6.2019625
5.4025426,4.8352165
5.5038,4.194381
4.3621364,5.209456
5.965341,4.173596
4.3642097,5.421397
4.6497803,4.6676674
4.6192827,3.5912552
3.7152216,4.7202716
5.457526,4.461979
5.438041,5.86932
6.155068,3.958043
4.2837734,4.619749
4.128669,6.0247474
3.504335,4.201751
3.3543289,4.559789
5.571212,5.0086465
3.7438755,4.849062
4.8310957,6.217072
8.864478,11.111916
8.2427435,10.43649
8.408726,9.326034
8.236418,10.461951
8.488836,11.191283
8.062593,10.187755
8.510684,10.954026
8.3430395,10.605456
8.009622,10.079369
8.29517,10.590327
8.060213,10.145342
8.1678915,10.684192
8.531633,10.889708
8.377514,10.700321
8.129973,9.937921
8.703768,11.05281
8.24188,9.829849
6.0623965,5.237027
4.671281,4.9382687
3.6768851,4.257018
4.1567864,5.995216
4.602062,3.4659734
3.9274035,3.2274857
5.10452,4.423912
5.6703954,4.480772
5.266189,4.550442
5.869627,5.5546775
5.023775,5.703479
5.72895,5.02732
5.1520896,5.1075425
5.377717,3.9889145
5.3737206,5.5934525
5.273162,3.7072787
4.9157915,3.8875031
4.856968,5.472859
4.4705124,5.3379145
4.2454505,6.1149135
5.9763327,5.5457735
4.336783,4.2558646
4.079209,3.6633484
6.2124925,4.9221916
3.865991,4.245158
6.2705693,4.9210277
4.125218,4.4359145
4.3238335,3.966605
4.843907,6.2025456
5.4777803,4.1326942
5.9135695,5.5525002
4.065338,5.9187727
4.7293887,6.0498743
3.9810073,5.6455927
8.409704,10.680429
8.105192,10.988038
8.286912,9.667548
8.021365,10.824703
8.713927,10.4577
