Factor1,Factor2
-17.543795,1.532416
-17.156967,1.8649129
-16.811783,1.5673578
-17.95942,1.1121856
-17.23751,1.6910765
-17.894543,1.199946
-17.619251,1.5019196
-16.997036,2.1721485
-16.638968,2.1533008
-17.539742,0.87871253
-17.489742,1.315588
-17.143286,1.7982303
-17.409052,2.0211825
-17.11794,1.6485062
-17.371702,1.4437627
-17.27924,0.81158596
-17.131685,1.7997836
-16.80375,1.9605658
-17.56526,1.9729813
-16.985825,1.5371171
-16.961773,1.7412453
-17.164179,1.864681
-17.865782,0.9094426
-16.64923,1.5287725
-16.908653,1.3147179
-17.59702,1.8590524
-16.950354,0.91207516
-17.123281,1.2993007
-17.466427,1.1754242
-17.233566,1.901264
-17.833538,1.7060516
-17.80191,2.027663
-17.052675,1.7998753
-17.421051,2.0061202
-17.100342,1.9364213
-17.211948,1.9303324
-17.184492,2.1518
-17.70843,0.91130716
-17.546877,1.739779
-17.202488,1.7240232
-17.25661,1.9521044
-17.858942,1.6263474
-17.702251,1.8452001
-17.315964,1.6114317
-17.4015,0.8886365
-17.036629,1.883061
-17.787773,1.2923036
-17.130772,1.8725274
-17.34267,1.7447393
-18.000044,1.6844056
-18.033003,1.7290475
-16.963049,1.9478661
-17.10395,1.0593351
-17.34768,2.2250133
-16.958612,1.8466488
-18.205307,1.4086937
-17.579756,1.4295086
-18.121342,1.8282714
-16.67088,1.475503
-17.972076,1.6008744
-17.112026,1.5833001
-17.904377,1.5673108
-17.260622,1.0741316
-11.368979,-8.333009
-11.644347,-8.091914
-12.181993,-8.288041
-11.493872,-8.443997
-11.248775,-8.15991
-12.026405,-8.791476
-11.525268,-8.430643
-11.68735,-7.832337
-12.37094,-8.390205
-11.560088,-8.336573
-11.7447405,-8.372049
-11.5087805,-8.481647
-11.127324,-8.327558
-11.205223,-8.30338
-11.869275,-8.399654
-12.156901,-8.567539
-12.344727,-8.4184
-16.779345,1.6871859
-17.715292,1.4487293
-17.520794,2.0841656
-17.276842,2.0279875
-17.04877,1.7584934
-17.579647,2.0238833
-18.150019,1.1290252
-17.707376,1.1100699
-17.423923,1.8673743
-17.104689,1.7958679
-17.279205,0.997907
-17.238993,1.2930804
-17.106382,1.8669337
-18.255274,1.5151813
-16.760763,2.0766015
-17.540386,0.79483557
-17.469622,0.8007512
-17.889454,1.3993707
-16.678614,2.1602445
-16.784145,1.9423025
-18.00018,1.2745382
-17.155045,2.0368752
-17.56976,1.7343079
-17.854038,0.80404496
-17.080927,1.8404124
-17.611557,1.6664478
-17.30461,2.1023088
-17.499372,1.521135
-17.08492,1.5768718
-17.140732,1.7481068
-16.96553,1.7944944
-17.190079,0.9801801
-17.891115,1.7318578
-18.181358,1.1721213
-11.792488,-8.072051
-11.329843,-8.451713
-12.167802,-8.549697
-11.255587,-8.349068
-11.908045,-8.351321
-11.108214,-8.3619585
-11.256369,-8.37373
-12.164557,-8.378828
-12.091259,-8.589312
-12.126508,-8.335672
-11.687571,-8.556862
-12.323024,-8.4091015
-11.627244,-7.845212
-11.559806,-8.203594
-11.667394,-8.404678
-11.605197,-8.218014
-11.71248,-8.375733
-11.408391,-8.151582
-11.314039,-8.250172
-11.004656,-8.421053
-11.524581,-8.09433
-11.540257,-8.093927
-11.411759,-8.055047
-12.145533,-8.530648
-11.647943,-7.8907905
-11.771538,-8.5056095
-12.072441,-8.514905
-12.34485,-8.483341
-12.236909,-8.426797
-11.4197,-8.355852
-11.662525,-8.205259
-11.777085,-8.22682
-11.3249,-8.431265
-12.122045,-8.338418
-11.586755,-8.363538
-11.180319,-8.293206
-11.261888,-8.301855
-11.182858,-8.274866
-11.757357,-8.513954
-11.52424,-8.317324
-11.72392,-8.571476
-12.067777,-8.326282
-12.029113,-8.509113
-11.882565,-8.175322
-12.210698,-8.496032
-12.154892,-8.654106
-11.786829,-8.357057
-11.659689,-8.009538
-12.483124,-8.4882555
-11.56462,-7.9941654
-11.7699585,-8.458494
-12.464912,-8.486778
-11.358503,-8.23677
-11.436482,-8.382631
-12.534716,-8.518093
-11.872618,-8.314968
-12.090924,-8.269066
-11.6663065,-7.937034
-12.49627,-8.510734
-11.509797,-8.376159
-11.698307,-8.563031
-12.22679,-8.332838
-11.666405,-8.491076
-11.720112,-7.8629785
-11.132717,-8.33688
-12.098092,-8.236984
-12.009457,-8.654049
-11.272023,-8.38931
-11.937876,-8.580606
-11.824114,-8.528049
-11.093067,-8.29016
-11.644108,-8.592131
-11.846008,-8.601316
-11.101329,-8.379181
-11.272548,-8.414041
-11.721379,-8.3848
-11.914288,-8.713193
-11.090327,-8.355731
-11.755813,-8.099387
-11.878899,-8.547451
-11.730127,-8.106153
-11.638585,-8.263132
-12.476714,-8.495946
-11.871634,-8.41526
-11.199533,-8.327514
-11.288885,-8.223502
-11.770506,-8.608606
2.3765368,13.442123
2.6620147,13.279928
2.6549087,13.361173
2.0924156,13.180102
1.6915627,13.451733
1.7625536,13.245733
2.2947543,13.16412
2.2792585,13.45106
2.3895333,13.240047
2.2475379,13.378971
2.3681097,13.580881
2.2544703,13.476081
2.4975612,12.9790945
2.0648975,13.100062
2.3478782,13.363088
1.9504719,12.716174
2.5703123,12.823045
2.1696615,12.688491
2.2274473,12.665931
2.2132602,13.045943
2.2511332,12.873191
1.9128585,12.774556
1.9667767,13.153455
1.9161153,12.876529
1.9053862,13.099877
2.3933022,13.182228
2.390081,13.273658
1.8850665,13.550369
2.1796932,12.840653
1.9263909,13.0759735
2.470438,13.172545
2.508577,13.64452
2.5488021,12.963238
1.5684898,12.84517
2.3700356,13.082343
1.8190515,12.81114
2.1260839,12.844468
1.9338455,12.8787775
1.8876227,12.746027
2.466568,13.501605
2.1200564,13.376273
2.2129247,13.330669
2.206137,13.203757
2.4007518,13.061441
2.281217,13.23092
1.8116665,13.026082
2.452385,12.79479
1.8947545,12.958771
2.3515754,12.606094
2.610894,11.7811985
2.5852675,11.812749
2.605538,11.750736
2.3325062,12.516562
2.6092427,11.793512
2.624322,11.786303
2.5419436,13.133831
2.5737376,11.831737
2.5758693,13.053196
2.1998732,13.099862
2.5580485,13.024907
1.7858855,13.27521
1.9444296,13.145432
1.8886205,13.246938
2.1228878,12.985389
2.1474202,12.6821375
2.026747,12.72972
2.4024653,12.81712
1.8653373,13.80087
2.0101333,12.829034
1.0354378,7.06468
1.3032031,7.529546
0.346586,6.3719215
1.1777242,7.1635027
0.7453558,6.500463
1.8965687,13.518839
2.3657944,13.158399
2.2626562,13.304864
3.280813,13.942629
2.5133443,13.456479
3.0892675,13.728787
2.6544514,13.35495
2.2862086,13.216915
2.484773,13.312734
3.0472634,12.496652
3.3521805,11.996955
3.3296068,12.02084
2.703499,12.915875
3.372632,11.980835
3.3297484,11.997133
1.3299618,12.849217
3.058868,12.436642
2.9377916,12.51219
2.3062048,12.9837265
1.8456035,12.990159
1.9519786,13.172239
3.744092,14.205038
2.7394056,12.775173
3.272725,13.268742
2.6306179,13.345205
2.7241588,13.179634
2.5986857,13.305701
2.8226242,13.385681
2.8619914,13.526602
2.6696224,13.099652
2.9153843,12.736728
2.3422315,12.748885
