Factor1,Factor2
-7.8267016,7.953255
-7.740289,8.512733
-7.181646,8.396266
-8.34226,7.418146
-8.257638,8.533158
-8.167136,7.7140613
-7.609999,7.746912
-7.6749682,8.731427
-7.4405823,9.206127
-7.82765,7.3756294
-7.8282356,7.847137
-7.75889,8.714708
-8.312002,8.34491
-7.843081,8.4615
-7.2517886,7.5836806
-6.8307467,7.1424975
-7.928747,8.837553
-7.5533786,8.825046
-8.105127,8.23311
-7.1943984,8.266337
-7.370814,8.680771
-7.527618,8.478522
-7.055994,7.187139
-6.857689,8.672788
-6.8506365,8.154488
-8.318613,8.197408
-6.5895853,7.3891635
-7.141294,8.350752
-7.240799,7.406973
-7.8863077,8.605421
-8.365205,7.8780365
-8.672394,8.09131
-7.517299,8.240816
-8.125309,8.390868
-7.856861,8.520475
-8.035632,8.799101
-8.134024,8.961863
-8.03845,6.880753
-8.456037,8.044285
-7.3683233,8.494701
-8.361993,8.693153
-7.990472,7.778233
-8.633906,8.122072
-7.888131,8.031914
-7.248115,7.3675585
-7.898395,8.987606
-7.42273,7.6234703
-7.9954357,8.189838
-8.18375,8.327431
-8.391921,7.6341367
-8.555838,7.5579567
-7.6014376,8.645072
-7.0462155,7.539956
-8.470708,8.474474
-7.2973223,8.850047
-8.363463,7.4981465
-7.444696,7.9211087
-8.686238,7.361193
-6.9001956,8.247267
-8.760633,7.5132327
-7.3908634,8.189928
-8.333535,7.5369024
-7.1658607,7.875503
5.583766,4.4816017
5.540126,4.1444607
5.44773,3.132795
5.923904,4.302882
5.814875,4.664036
6.041624,3.615335
5.788417,3.9953487
6.085942,4.285347
5.951804,2.996404
5.1092157,4.031114
5.5939827,4.131166
5.7174826,4.2890563
5.599146,4.6630383
5.4311223,4.665848
5.296788,3.6000848
5.828746,3.2546875
5.882011,3.0019536
-7.376228,8.627835
-8.22438,7.7235146
-8.496499,8.455739
-8.118583,8.511024
-7.38665,8.561587
-8.16182,8.262864
-7.8525686,6.9729834
-7.3271184,7.557193
-7.7634096,8.340215
-7.5184817,8.634412
-6.8931,7.766397
-6.9863048,7.9228992
-7.6216273,8.6101675
-8.353705,7.004214
-7.3472514,9.057464
-7.029482,7.0788035
-7.0201664,7.6653132
-7.740154,7.557531
-7.40659,9.20922
-7.272247,8.947628
-8.518861,7.4361506
-8.241945,8.724294
-7.934468,8.12918
-7.3109636,7.3473973
-7.526828,8.924456
-8.077092,7.92973
-7.7127204,8.546256
-7.988286,8.137543
-7.2641487,8.543224
-7.8873615,8.54493
-7.6295633,8.898675
-7.1637683,7.7638083
-8.210096,7.881631
-8.40073,7.269886
5.1361766,3.8817878
5.3552675,4.405656
5.72093,3.3454182
5.8520074,4.8048015
5.15861,3.6163611
5.5584555,4.8608875
5.1549506,4.5264907
5.635447,3.2100158
5.920721,3.4236743
5.764096,3.294855
5.528799,4.1778
5.7729344,2.9070642
6.224419,4.34528
5.034282,4.1539702
5.610107,3.8391216
5.2257686,4.205262
5.2654977,3.8653364
5.817549,4.3867426
5.825874,4.593124
5.2539005,4.8849955
6.108028,4.3778205
5.0913877,4.3774347
5.9793386,4.5218673
5.5639825,3.500277
6.218375,4.2053313
5.852995,3.840543
5.807002,3.404922
5.9223523,3.0516672
5.870229,3.1764479
5.469372,4.3573456
5.1513133,4.0849075
5.239307,3.6733305
5.612893,4.31722
5.6620655,3.3582873
5.773396,4.0233135
5.6772575,4.812032
5.7273383,4.448124
5.647061,4.8019023
5.3566084,3.8283927
4.954584,4.2769065
5.4352503,3.9384582
6.0161457,3.5553057
5.71749,3.3791366
5.372322,3.4772
5.8211384,3.2231278
5.8774314,3.377871
5.301887,3.6936338
5.7197146,4.176235
5.9132433,2.7411885
5.7395453,4.316087
5.4355245,4.047124
5.864575,2.9000094
5.107747,4.36885
5.3292403,4.2286196
6.02682,2.7045765
5.4975133,3.6911116
6.022214,3.5231655
6.3052115,4.2120786
5.8812447,2.8246453
5.424287,3.965486
5.5971293,3.9944654
5.6523767,3.1360009
5.401895,3.9717157
5.456102,4.0928307
5.390363,4.914932
5.3829074,3.53211
5.8752832,3.5958083
5.374835,4.6259413
5.721117,3.6367583
5.5821075,3.875268
5.4866924,4.854258
5.2648396,4.006896
5.5933027,3.6901972
5.337553,4.8372445
5.084933,4.5987816
5.374461,3.9245958
5.7980456,3.7705514
5.5662737,4.698627
5.4025707,3.9569325
5.428815,3.6167712
5.9723735,4.0671334
6.1392703,3.9142587
5.987627,2.8581462
5.448823,3.7823906
5.802292,4.6263957
5.9734244,4.607901
5.562604,3.9019978
7.889433,-3.445819
8.004534,-2.8126056
7.898965,-2.9992805
8.247565,-3.5385578
8.474802,-4.1778374
8.571845,-3.8878453
8.294417,-3.3813074
8.100457,-3.5005896
8.3194,-3.36751
8.16445,-3.3527112
7.877933,-3.4704545
8.158625,-3.3830984
8.101244,-3.193127
8.486102,-3.8495843
7.9181986,-3.3112907
8.971383,-3.4638476
8.600827,-2.7215793
8.798198,-3.1154788
8.674456,-3.3134465
8.269708,-3.37761
8.509475,-3.3338146
8.868141,-3.1535108
8.441742,-3.608023
8.870876,-3.2681043
8.525642,-3.5382195
7.8530736,-2.780559
8.082885,-2.915891
8.246216,-4.011379
8.914861,-3.2453983
8.731176,-3.6548874
8.273347,-2.7308302
7.8648386,-3.5149853
8.516698,-2.760148
9.392094,-3.6265142
8.246924,-3.0096807
9.113731,-3.3405225
8.9595585,-3.2821097
8.838942,-3.46728
9.209276,-3.3565376
7.9237857,-2.7263691
8.431796,-3.3062754
8.525132,-2.8381648
7.821616,-3.270543
8.340599,-2.9832635
8.072312,-3.175613
8.6695175,-3.6507354
8.749054,-3.0497715
8.660074,-3.5462298
8.837322,-2.5213537
8.937376,-1.6359714
9.10574,-1.6668904
8.936019,-1.7046827
8.955104,-2.7197776
9.017969,-1.7507123
8.978593,-1.5833154
8.174762,-2.8701553
8.906666,-1.8205942
8.376066,-2.6428123
8.738612,-3.0645967
8.596488,-2.7060974
8.616978,-3.9623413
8.569642,-3.5194376
8.539739,-3.5640023
8.631545,-3.5647116
9.049213,-3.0052688
9.008216,-3.1176805
8.586747,-2.8000388
7.9974127,-4.0529547
9.040593,-3.4068675
12.583721,18.181324
12.414154,18.54946
12.9335375,16.650011
12.544461,18.3582
13.234541,17.115152
8.370537,-3.9216664
8.118165,-3.17009
8.308175,-3.3237486
6.9176164,-2.3573682
7.88774,-3.0306926
7.3688803,-2.5635056
8.076631,-2.7663257
8.525417,-3.267759
8.407923,-2.7986016
8.3720255,-1.8719748
8.475778,-1.3874346
8.526017,-1.4135202
8.433487,-2.4900935
8.5417385,-1.4401464
8.68725,-1.2982626
9.434235,-3.83766
8.43604,-1.8908296
8.527293,-2.0395691
8.584942,-2.9601827
8.705049,-3.7205024
8.447242,-3.7652473
6.867705,-1.7470992
