Factor1,Factor2
5.2702293,3.8766708
4.3576365,3.0110247
4.3012257,4.3600287
5.1975927,4.133781
5.3673115,3.35509
4.8371463,3.17084
5.290532,2.8079615
5.353068,2.9233947
5.3270397,3.5552752
5.2253623,3.0517082
5.1043444,4.301351
3.1263692,2.028806
3.2951086,2.9989116
7.011118,8.0776205
4.8511415,3.5626645
4.049495,3.1773775
4.3214636,4.360354
3.914224,2.3629603
4.6728773,3.3369377
5.138398,4.1955867
4.903142,3.8563745
4.2953014,4.084129
5.1794004,2.3999305
3.9143393,3.7774827
4.949932,3.3522987
5.112407,3.776734
4.376617,2.3357227
4.9427814,3.9228437
4.604912,2.500674
4.2349167,3.5287385
4.9415097,2.7940803
4.5091734,3.2313898
4.432707,4.321517
3.4139736,3.7864914
4.225686,4.350147
3.9655604,3.1970737
4.9838753,2.1038718
5.310258,2.8133993
3.1848207,3.009832
3.8705852,3.5814974
4.848462,3.5966442
3.7718482,2.7278116
3.831241,3.3950875
5.2808003,3.7819417
5.168919,4.198241
4.3927794,3.6996043
5.0352335,2.6482978
4.1107974,3.6938174
5.289172,2.9807234
3.8596427,3.681546
4.1881924,3.517839
3.9237459,2.3697295
3.6876645,3.3665192
5.203895,2.8795614
4.7311587,4.3179955
5.284828,2.7688875
4.38969,3.1116874
5.083161,4.269019
3.5149083,3.1157043
3.573239,3.2319899
5.3983274,3.299647
4.009682,3.3195062
5.196609,4.311754
7.720188,9.346442
7.405074,8.941371
6.801,8.315208
7.3679934,9.021175
7.5417175,9.380906
7.318568,8.8211775
7.4487796,9.312788
7.595791,9.179916
7.256902,8.734516
7.6956177,9.15508
7.2902327,8.841146
7.3624816,9.116603
7.5284295,9.22352
7.605287,9.247683
7.26134,8.592926
7.6281986,9.356396
7.2216983,8.534973
4.2477083,4.37019
4.185043,3.74034
3.537773,3.1410234
5.0746045,4.2387624
3.8293598,2.3612838
3.5950532,2.2271483
4.7367473,2.8320253
5.080225,3.1175356
4.6503386,3.3671854
4.3708096,4.381136
4.6847515,4.066601
4.6827674,3.7513626
4.244372,3.961278
5.0488434,2.5585225
4.8647738,3.8516214
4.4280944,2.3820415
4.484432,2.6000085
5.025654,3.6779604
3.869,3.7833226
5.13728,4.2930255
4.3173027,4.418208
4.0541964,3.0834937
3.763214,2.5055776
4.0312905,4.329487
4.101781,2.9421968
4.2853565,4.308548
4.2880526,3.073947
4.2365665,2.8806913
5.217728,4.226876
5.142308,2.6815245
4.389217,4.389871
5.0318937,4.1951957
5.12428,4.198456
4.8368096,3.9944432
7.5702105,9.079612
7.228271,9.309302
7.2271004,8.502648
7.326571,9.087918
7.7815127,9.082082
7.3696823,9.24959
7.384946,9.2270775
7.8164454,8.845585
7.10322,8.389319
7.080055,8.347049
7.689477,9.166087
6.9066143,8.377924
7.403048,9.04756
7.757383,9.162164
7.580851,9.030364
7.315742,8.8556185
7.399014,8.942936
7.470752,9.212648
7.4282722,9.332029
7.1737123,9.369444
7.2337627,9.299009
7.3612404,8.95005
7.353413,9.215085
7.132208,8.171855
7.4069357,8.95907
7.729047,8.705427
7.15989,8.442793
7.559071,8.964156
6.860975,8.381279
7.849576,8.896532
7.7333155,9.034254
7.0718317,8.394827
7.4328847,9.076583
7.623338,8.667803
7.8039217,9.145223
7.7904124,9.001794
7.518444,9.090982
7.6457353,9.418259
7.670085,8.743907
7.1696043,9.410967
6.8638873,8.382743
7.0375357,8.251814
7.6646605,8.709856
6.792742,8.311075
7.2558184,8.763977
7.095828,8.386329
7.7723355,9.1002245
7.5519757,9.171363
7.021665,8.382409
7.427939,8.892852
7.505901,9.165485
7.185229,8.62916
7.5779037,9.391196
7.714582,9.347544
7.139331,8.422551
7.8362217,8.9108925
7.233343,8.7180605
7.575436,9.14614
6.982347,8.069734
7.584293,8.612933
7.819668,9.033903
6.7985363,8.316534
7.2593937,8.817459
7.5753293,9.240155
7.5799155,9.377443
7.280347,8.801847
7.1722674,8.476336
7.259718,9.348377
7.8304787,8.866983
7.7023153,9.147851
7.4869795,9.3066435
7.3923516,9.186625
7.6906586,9.368227
7.750977,9.344721
7.2334757,9.408055
7.2183986,9.3509
6.852482,8.363147
7.516778,9.415865
7.6613135,9.135642
7.133655,8.420679
7.6564097,8.701196
7.194306,8.802987
7.037217,8.1633215
6.9171896,8.384724
7.533644,9.1958
7.6513753,9.176562
6.809804,8.323504
-1.5630052,10.257879
-1.5187068,9.942147
-1.5368491,10.391221
-2.0866992,11.997918
-2.461867,11.214901
-2.1986806,12.47435
-1.8815191,11.3118
-2.0724807,12.242393
-2.2958345,11.3516035
-1.1012248,10.672503
-1.4544046,10.648001
-2.6520567,11.364896
-2.1732564,11.318495
-1.498174,10.273007
-1.6505823,11.539462
-1.9905452,10.33967
-1.8252336,11.528877
-1.8680824,11.273941
-1.582065,10.092612
-2.213489,10.9908905
-1.7610282,10.165955
-1.9643527,11.700978
-0.5668976,11.147941
-1.1911848,10.860742
-1.9798092,10.368646
-1.3537619,11.275958
-1.6706353,10.520251
-1.100923,11.160762
-1.9127756,11.894836
-1.4818745,10.993449
-1.7013803,10.591049
-1.6289442,11.727197
-2.1644483,11.730573
-2.6982365,11.548851
-1.5191479,10.03614
-1.2219588,10.782042
-0.9995764,10.74989
-1.2696377,11.686763
-1.7047969,10.523049
-2.0514646,10.482164
-1.9993751,10.354314
